점검 ID,기능 또는 구성요소,기준 문서와 조항,현재 계획 상태,기대 동작 또는 완료 조건,구현 파일과 진입점,관련 테스트와 실행 검증 방법,실제 결과,증거 위치,판정,심각도,다음 조치,판정 범위와 제한
SYS-00,기준선,CLAUDE §0·§3,진행 중(점검상 잠정 분류; 세부 승인/완료 상태 추가 매핑 필요),커밋·변경·실행본 출처 추적,Git·런타임 (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),git status/HEAD/upstream/worktree/diff --check;runtime-current.py; 커밋·변경·실행본 출처 추적,"기준선 변경 이력 기록, 단일 기준 전체 통과 아님",artifacts/system-audit-2026-09-09-2348/baseline.json;runtime-current.json;closing-baseline.json,통과,Important,FIX-00: 최신 변경 고정 후 재검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-01,문서 진입점,docs/development-fast-path.ko.md §10.9,진행 중(점검상 잠정 분류; 세부 승인/완료 상태 추가 매핑 필요),"현재 인계 1개, 대체 관계 명시",CLAUDE·handoff test (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),"tests/test_handoff_entry_point.py; 현재 인계 1개, 대체 관계 명시","A/B 실패, 다른 작업 수정 후 D 선별 테스트 통과",artifacts/system-audit-2026-09-09-2348/pytest-short-results.xml;current-backend.xml,통과,Important,"VERIFIED-01: D에서 해결, 최신 재발 여부만 확인",D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-02,승인 범위,docs/implementation-plan.ko.md §4·승인 기록,진행 중(점검상 잠정 분류; 세부 승인/완료 상태 추가 매핑 필요),보류·제외·구현 완료 구분,decisions·계획 (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 보류·제외·구현 완료 구분,"문서 기준 정리, 일부 상태는 추가 확인 필요",artifacts/system-audit-2026-09-09-2348/../문서 체계는 보고서 §2,미검증,Important,SYS-02: 세부 완료 승인 전수 매핑은 미완; 계획 문구를 사용 승인으로 대체 금지,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-03,프로젝트,docs/implementation-plan.ko.md §4,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),만들기·열기·새로고침,ProjectsPage·routers/projects.py (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 만들기·열기·새로고침,"운영 목록 조회만 확인, 쓰기 미검증",artifacts/system-audit-2026-09-09-2348/browser-readonly-B.json;e2e.log,차단,Important,격리 실DB에서 생성/열기/새로고침 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-04,입력·촬영본,최신 인계 §8; docs/handoffs/2026-09-08-hermes-egress-and-multitrack-plans.ko.md 및 최신 pointer 재확인,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),업로드·받아쓰기·자료실 연결 유지,SourceVideoStart·routers/draft_readiness.py (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),tests/test_api_source_video_start.py;apps/web/e2e/library-footage-crosslink.spec.mjs; 업로드·받아쓰기·자료실 연결 유지,"D source-video API 시험 통과, 운영 업로드 미실행",artifacts/system-audit-2026-09-09-2348/current-backend.xml;e2e.log,차단,Important,격리 업로드/재진입/자료실 연결 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-05,자산 검색·선택,docs/development-fast-path.ko.md §10.15,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),종류 구분·검색·삽입,LibraryPage·EditorAssetBrowser·LibraryPickerDialog (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 종류 구분·검색·삽입,"운영 자료실 조회 확인, 쓰기 미검증",artifacts/system-audit-2026-09-09-2348/browser-readonly-B.json;e2e.log,차단,Important,FIX-01/INVEST-02/04; 실제 선택/저장 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-06,STT·분석,docs/implementation-plan.ko.md §4,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),진짜 음성 인식·재분석·장애 안내,assets/jobs·media_analysis (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 진짜 음성 인식·재분석·장애 안내,"단위/모의 검증과 실제 모델 분리, 실제 STT 미검증",artifacts/system-audit-2026-09-09-2348/pytest-short-results.xml,차단,Important,허용된 합성 음성으로 실제 STT와 unavailable/취소/복구 확인,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-07,대본·기획,docs/implementation-plan.ko.md §4,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),저장·확정·재진입,CreationInterview·creation_briefs/script_drafts (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 저장·확정·재진입,"프런트 자동 검증, 운영 상태 변경 미실행",artifacts/system-audit-2026-09-09-2348/frontend-current.log;e2e.log,차단,Important,실제 저장/확정/재진입 확인,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-08,추천·사용 구간,docs/implementation-plan.ko.md §4,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),선택한 시작/끝 저장·버전 보호,CreationInterview·draft_readiness (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),apps/web/src/features/creation/CreationInterview.test.tsx; 선택한 시작/끝 저장·버전 보호,"앞선 1회 실패 원인 미확정, 후속 통과도 보존",artifacts/system-audit-2026-09-09-2348/frontend-tests.log;frontend-creation-focused.log;frontend-current.log,미검증,Important,INVEST-01: 지연 readiness 응답과 입력 보존 재현,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-09,초안,docs/development-fast-path.ko.md §10.5,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),같은 버전의 원자적 생성·실패 복구,atomic_draft_bundles·draft_readiness (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),전체 JUnit/프런트 로그의 관련 테스트는 표본 근거; 요구 전체 충족 연결은 미검증; 같은 버전의 원자적 생성·실패 복구,자동 근거와 운영 실사용 구분,artifacts/system-audit-2026-09-09-2348/pytest-short-results.xml,차단,Important,실DB 원자성/실패/중복/재시도 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
SYS-10,타임라인,docs/implementation-plan.ko.md §8.4,완료 주장(기능 제공 설명 기준; 실사용 최종 승인 의미 아님),편집·저장·새로고침·undo/redo,EditorWorkbenchRoute·editing_session (기능/심볼 진입점; 상세 경로는 보고서/후속 작업서 참조),apps/web/e2e/editor-workbench.spec.mjs;release-gates.spec.mjs; 편집·저장·새로고침·undo/redo,"모의 API E2E에 실패 있음, 운영 편집 미실행",artifacts/system-audit-2026-09-09-2348/e2e.log;editor-workbench-performance.json,차단,Important,INVEST-02/03; 최신 트랙/편집/undo/영속성 검증,D 또는 개별 로그의 기준선에 한함. 차단=격리 실DB/서비스 쓰기 환경 미확보. 미검증=해당 조건/최신 기준 증거 부족. 행 단위는 제품 요구 전수 목록 아님.
